Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 30.0, -10.25
Query 2, 1, 10.0, 0
Query 3, 2, 20.0, -16.0
Query 4, 4, 40.0, 0.09999999999999998
Query 5, 1, 10.0, 0
Query 6, 4, 40.0, -9.0
Query 7, 4, 40.0, -4.6
Query 8, 1, 10.0, 0
Query 9, 1, 10.0, 0
Query 10, 1, 10.0, 0
Query 11, 4, 40.0, 0.0
Query 12, 1, 10.0, 0
Query 13, 3, 30.0, -0.25
Query 14, 3, 30.0, -11.25
Query 15, 0, 0.0, 0
Query 16, 0, 0.0, 0
Query 17, 2, 20.0, -48.0
Query 18, 1, 10.0, 0
Query 19, 1, 10.0, 0
Query 20, 3, 30.0, -0.25
Query 21, 2, 20.0, -3.0
Query 22, 0, 0.0, 0
Query 23, 1, 10.0, 0
Query 24, 2, 20.0, -49.0
Query 25, 2, 20.0, -28.0
Query 26, 4, 40.0, 0.0
Query 27, 1, 10.0, 0
Query 28, 3, 30.0, -0.5
Query 29, 2, 20.0, -31.0
Query 30, 1, 10.0, 0
Query 31, 1, 10.0, 1
Query 32, 2, 20.0, -19.0
Query 33, 3, 30.0, -8.5
Query 34, 2, 20.0, -28.0
Query 35, 1, 10.0, 0
Query 36, 2, 20.0, -33.0
Query 37, 2, 20.0, -4.0
Query 38, 3, 30.0, -12.0
Query 39, 2, 20.0, -1.0
Query 40, 2, 20.0, -67.0
Query 41, 3, 30.0, -6.5
Query 42, 1, 10.0, 1
Query 43, 3, 30.0, -7.5
Query 44, 2, 20.0, -24.0
Query 45, 0, 0.0, 0
Query 46, 2, 20.0, -25.0
Query 47, 0, 0.0, 0
Query 48, 2, 20.0, -44.0
Query 49, 0, 0.0, 0
Query 50, 1, 10.0, 0
Query 51, 4, 40.0, -0.30000000000000004
Query 52, 2, 20.0, -1.0
Query 53, 3, 30.0, -1.25
Query 54, 3, 30.0, -1.75
Query 55, 2, 20.0, -1.0
Query 56, 2, 20.0, -1.0
Query 57, 1, 10.0, 0
Query 58, 0, 0.0, 0
Query 59, 1, 10.0, 0
Query 60, 0, 0.0, 0
Query 61, 2, 20.0, -71.0
Query 62, 3, 30.0, -4.5
Query 63, 1, 10.0, 0
Query 64, 2, 20.0, -3.0
Query 65, 1, 10.0, 0
Query 66, 2, 20.0, -3.0
Query 67, 1, 10.0, 0
Query 68, 2, 20.0, 0.0
Query 69, 1, 10.0, 1
Query 70, 1, 10.0, 0
Query 71, 1, 10.0, 0
Query 72, 2, 20.0, -4.0
Query 73, 1, 10.0, 1
Query 74, 0, 0.0, 0
Query 75, 3, 30.0, -21.25
Query 76, 3, 30.0, -6.25
Query 77, 2, 20.0, -1.0
Query 78, 1, 10.0, 0
Query 79, 0, 0.0, 0
Query 80, 2, 20.0, -63.0
Query 81, 4, 40.0, -0.19999999999999996
Query 82, 1, 10.0, 1
Query 83, 3, 30.0, 0.5
Query 84, 2, 20.0, -9.0
Query 85, 2, 20.0, -1.0
Query 86, 2, 20.0, -39.0
Query 87, 3, 30.0, -0.5
Query 88, 1, 10.0, 1
Query 89, 3, 30.0, 0.5
Query 90, 2, 20.0, -15.0
Query 91, 5, 50.0, -0.44999999999999996
Query 92, 1, 10.0, 0
Query 93, 2, 20.0, -1.0
Query 94, 2, 20.0, 0.0
Query 95, 0, 0.0, 0
Query 96, 1, 10.0, 1
Query 97, 2, 20.0, -12.0
Query 98, 2, 20.0, -8.0
Query 99, 1, 10.0, 0
Query 100, 2, 20.0, -9.0
Average, 1.8200000000000014, 18.19999999999999, -7.6095000000000015
