Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 0.3, -10.25
Query 2, 1, 0.1, 0
Query 3, 2, 0.2, -16.0
Query 4, 4, 0.4, 0.09999999999999998
Query 5, 1, 0.1, 0
Query 6, 4, 0.4, -9.0
Query 7, 4, 0.4, -4.6
Query 8, 1, 0.1, 0
Query 9, 1, 0.1, 0
Query 10, 1, 0.1, 0
Query 11, 4, 0.4, 0.0
Query 12, 1, 0.1, 0
Query 13, 3, 0.3, -0.25
Query 14, 3, 0.3, -11.25
Query 15, 0, 0.0, 0
Query 16, 0, 0.0, 0
Query 17, 2, 0.2, -48.0
Query 18, 1, 0.1, 0
Query 19, 1, 0.1, 0
Query 20, 3, 0.3, -0.25
Query 21, 2, 0.2, -3.0
Query 22, 0, 0.0, 0
Query 23, 1, 0.1, 0
Query 24, 2, 0.2, -49.0
Query 25, 2, 0.2, -28.0
Query 26, 4, 0.4, 0.0
Query 27, 1, 0.1, 0
Query 28, 3, 0.3, -0.5
Query 29, 2, 0.2, -31.0
Query 30, 1, 0.1, 0
Query 31, 1, 0.1, 1
Query 32, 2, 0.2, -19.0
Query 33, 3, 0.3, -8.5
Query 34, 2, 0.2, -28.0
Query 35, 1, 0.1, 0
Query 36, 2, 0.2, -33.0
Query 37, 2, 0.2, -4.0
Query 38, 3, 0.3, -12.0
Query 39, 2, 0.2, -1.0
Query 40, 2, 0.2, -67.0
Query 41, 3, 0.3, -6.5
Query 42, 1, 0.1, 1
Query 43, 3, 0.3, -7.5
Query 44, 2, 0.2, -24.0
Query 45, 0, 0.0, 0
Query 46, 2, 0.2, -25.0
Query 47, 0, 0.0, 0
Query 48, 2, 0.2, -44.0
Query 49, 0, 0.0, 0
Query 50, 1, 0.1, 0
Query 51, 4, 0.4, -0.30000000000000004
Query 52, 2, 0.2, -1.0
Query 53, 3, 0.3, -1.25
Query 54, 3, 0.3, -1.75
Query 55, 2, 0.2, -1.0
Query 56, 2, 0.2, -1.0
Query 57, 1, 0.1, 0
Query 58, 0, 0.0, 0
Query 59, 1, 0.1, 0
Query 60, 0, 0.0, 0
Query 61, 2, 0.2, -71.0
Query 62, 3, 0.3, -4.5
Query 63, 1, 0.1, 0
Query 64, 2, 0.2, -3.0
Query 65, 1, 0.1, 0
Query 66, 2, 0.2, -3.0
Query 67, 1, 0.1, 0
Query 68, 2, 0.2, 0.0
Query 69, 1, 0.1, 1
Query 70, 1, 0.1, 0
Query 71, 1, 0.1, 0
Query 72, 2, 0.2, -4.0
Query 73, 1, 0.1, 1
Query 74, 0, 0.0, 0
Query 75, 3, 0.3, -21.25
Query 76, 3, 0.3, -6.25
Query 77, 2, 0.2, -1.0
Query 78, 1, 0.1, 0
Query 79, 0, 0.0, 0
Query 80, 2, 0.2, -63.0
Query 81, 4, 0.4, -0.19999999999999996
Query 82, 1, 0.1, 1
Query 83, 3, 0.3, 0.5
Query 84, 2, 0.2, -9.0
Query 85, 2, 0.2, -1.0
Query 86, 2, 0.2, -39.0
Query 87, 3, 0.3, -0.5
Query 88, 1, 0.1, 1
Query 89, 3, 0.3, 0.5
Query 90, 2, 0.2, -15.0
Query 91, 5, 0.5, -0.44999999999999996
Query 92, 1, 0.1, 0
Query 93, 2, 0.2, -1.0
Query 94, 2, 0.2, 0.0
Query 95, 0, 0.0, 0
Query 96, 1, 0.1, 1
Query 97, 2, 0.2, -12.0
Query 98, 2, 0.2, -8.0
Query 99, 1, 0.1, 0
Query 100, 2, 0.2, -9.0
Average, 1.8200000000000014, 0.18200000000000013, -7.6095000000000015
